C:\Program Files\nodejs\node.exe --max-old-space-size=4096 .\main.js
Shape Processing Unit 0.2.0
Thu Jul 08 2021 09:00:39 GMT-0700 (Pacific Daylight Time)

Searching for shapes...
  36000000 IC1ICRCL23L1 [0003,0004,0001,0006,000c]
  37000000 IC1ICL22RSSSR [3936]
  38000000 IC1ICLI22CU1 [0003,000c,000f,000c,0004,0008]
  39000000 IC1ICIC5UXL1 [000c,000c,0003,0009,000c]
  40000000 IC1II2LC42XSU [000f,000f,00c8]
  41000000 IC1IICR2X22R [0003,0006,000c,0009]
  42000000 ICXRCI1IX2XSC [000c,0013]
  43000000 ICXRICLCU3U1S [000c,0008,0046]
  44000000 ICXLC1RIXUISU [0002,00f8]
  45000000 ICXLI1C2SC2RS [000c,003a]
  46000000 ICXI1RC1I1L3U [0001,000f,0004,000f]
  47000000 ICXIC2L1I33R [0003,000f,000c,000c]
  48000000 ICXICRCI14U2U [000c,0004,0002,0003,000f]
  49000000 ICXICIXL2X1US [0039]
  50000000 ICR1SCXLI1IS [000f,0f62]
  51000000 ICR1R1CISLCXX [0009,0004]
  52000000 ICR1RI2CUSS1L [00cf,000c]
  53000000 ICR1UXI1C1RX [000f,0002]
  54000000 ICR1LCXUSRCUS [008c]
  55000000 ICR1LII3SL2LS [000f,033f]
  56000000 ICR1I1UICR13C [0006,0003,0006,000c,000c,0003]
  57000000 ICR1IC2L33XI1 [0003,0006,000f,0006]
  58000000 ICR1ICIC3U4SL [0006,0003,000c,0003,000f]
  59000000 ICRSUCI2IC14L [000f,0008,0003,000c,0089]
  60000000 ICRSCXICX1I2X [004c,000f]
  61000000 ICRSI1LCL1USI [000f,0191,000f]
  62000000 ICRXRC1UXIICL [0001,000f,000c,0009]
  63000000 ICRXIC2R1LISC [000c,0009,00c8,0031]
  64000000 ICRC21SSUCUSC [00cc]
  65000000 ICRC2XIC1ISSC [0004,0002,00cc,0033]
  66000000 ICRC2USIXUXU [0001]
  67000000 ICRC2I31IX3US [000c,0004,008f]
  68000000 ICRC2ICLSUX1C [0004,000c,0002]
  69000000 ICRC1R2XUSIX [0022]
  70000000 ICRC1LSISLSCL [00cc,0988]
  71000000 ICRC1IC4L2USL [0002,0004,0003,0093]
  72000000 ICRCXUI2X1UXI [000f,000f]
  73000000 ICRCR2RIXU2XR [0004,000c]
  74000000 ICRCRI22ISU33 [0004,00f1,000c,000f]
  75000000 ICRCRIICX1SUX [000c,0004,0004]
  76000000 ICRCU1L22IL [0002,000c,0008,000f]
  77000000 ICRCUI1S1R1SI [000c,08f8,000f]
  78000000 ICRCL21I13L31 [000f,0001,000c,0002]
  79000000 ICRCL1I2U2U1S [000c,000f,0005]
  80000000 ICRCLI1SLSI1X [000c,000f]
  81000000 ICRCI32XI13XR [000f,000f,0009]
  82000000 ICRCI3ISL2U3S [000f,00f6,000c]
  83000000 ICRCI2LI3SL22 [000c,001f,000f,0002]
  84000000 ICRCI1LXSRI21 [00f8,000c,000f]
  85000000 ICRCISI12U22 [000c,0001,000f,00f2]
  86000000 ICRCIC3X3SXR [0002,0009]
  87000000 ICRCICXRSR2 [0004,0007,000c]
  88000000 ICRCICLX2S1XL [000c,0026]
  89000000 ICRCIIX2SLCRC [000c,0002,000c,0044,0002]
  90000000 ICRI21C2L2IX1 [0006,0003,000c,0006]
  91000000 ICRI2RC3ISUS1 [000f,0f91,0008]
  92000000 ICRI2LCIXU2R [0006,0004,0008,000f]
  93000000 ICRI1SRC1I13U [0003,000f,00cc,0003]
  94000000 ICRI1UI2S2RCC [0009,00ff,0008,0001]
  95000000 ICRI1CU32S2CC [0008,004c,000c,0003]
  96000000 ICRIS1LI21XSL [0f33]
  97000000 ICRISCL12X1XU [0031]
  98000000 ICRIXCU1RXI22 [000f,000c,0008]
  99000000 ICRIC3R21C12U [0006,0003,0001,0008,0003]
 100000000 ICRIC22I1XC4X [0003,0006,000c,0003]
 101000000 ICRIC2CX2R1UX [000c,0003,0009]
 102000000 ICRIC1RCIXUS3 [0006,0003,000c,000c]
 103000000 ICRICXLXC1LX [000c,0002]
 104000000 ICRICRXIXR22R [0009,000c,000c]
 105000000 ICRICU2I2L12 [000c,000c,0006,000f,0006]
 106000000 ICRICL1XIX1L [000c,0009,0003]
 107000000 ICRICI44U1S21 [000c,000f,0003,00c9]
 108000000 ICRICIC45RSSC [000c,0003,000c,000c,0033]
 109000000 ICRII2U3XC3S1 [000f,00f1,0008]
 110000000 ICRIIC22X3USR [0006,0003,006f]
 111000000 ICUSRCIIC3RXS [0088,000f,000f]
 112000000 ICUSICX1UISR1 [0f66,000c]
 113000000 ICUXLCI2LSL11 [0002,001f]
 114000000 ICUI22R2XSUC1 [0023,0004]
 115000000 ICUI2RCUXSXUI [0003,000f]
 116000000 ICUI2I1S22C31 [000c,000c,00cf,0003]
 117000000 ICUI1R21LSICC [000f,00cc,000c,0003]
 118000000 ICUI1LC22I1XR [000c,0002,000f,000f]
 119000000 ICUISRIC33SCL [000c,0003,0c8c,0098]
 120000000 ICUISIC3RXRC3 [000c,0004,0002,00fc]
 121000000 ICUIC3R1SCLS1 [000c,0988,000c]
 122000000 ICUIC2R21CRIL [000c,0003,000c,0008,0002,000f]
 123000000 ICUIC1R31CXL1 [000c,0003,0004,000c]
 124000000 ICUICXIC1UXXX [000c,000c]
 125000000 ICUICRCR3I2UX [000c,000c,0004,000c,000f]
 126000000 ICUICL2I1R3S3 [0009,000f,00c9,000c]
 127000000 ICUICI42RSSCU [000c,000c,04cc,008c]
 128000000 ICUICICR2R3X3 [000c,000c,0006,0006,000c]
 129000000 ICUIIX2U2LC32 [0003,0002,000f,0004]
 130000000 ICUIICUXRC3L4 [000f,0008,0001,0006,000c]
 131000000 ICL1XCI2I1LSR [0001,000f,008f]
 132000000 ICL1RCISUC13X [0008,0003,00c4]
 133000000 ICL1U1ICLI43L [0009,0009,000f,0003,0006]
 134000000 ICL1L1I2CI3SC [0009,0004,0002,00cc,0033]
 135000000 ICL1LI12LSIS1 [0fc6,000f]
 136000000 ICL1I2CUX21RX [000f,000c]
 137000000 ICL1IXRICRXR1 [0009,0009,0009]
 138000000 ICL1ICU3CR41X [000c,000c,0008,000c]
 139000000 ICLSRCLC12SI2 [0888,000f,0001]
 140000000 ICLSLIC2XRXUI [0003,000f]
 141000000 ICLSCI1I22L2R [008c,000f,0008,000f]
 142000000 ICLSICRCXXXIC [009c,000c,0003]
 143000000 ICLXLCI2LSLIU [0002,001f,000f]
 144000000 ICLC22XRCLX [0001,0008]
 145000000 ICLC2SRXUICL2 [000c,0009,0002]
 146000000 ICLC2RI3RSCIR [0001,0009,000c,0013,000f]
 147000000 ICLC2LC22R2L2 [0008,0008,0001,0001]
 148000000 ICLC2ISC2UICX [0008,00cc,0003,0004,000c]
 149000000 ICLC12LIXC1XL [0001,0008,0001]
 150000000 ICLC1UXICRIC3 [000c,0001,0006,000c,0003,000c]
 151000000 ICLC1I2LXIXCR [000c,0008,000c,0006]
 152000000 ICLCX1U1ICXIU [0003,0008,000c,000f]
 153000000 ICLCXICUXUSSR [0079]
 154000000 ICLCR1XLICRSC [000c,0001,004c,0002]
 155000000 ICLCRI3LCXSUI [0008,0002,001f,000f]
 156000000 ICLCRII34L31L [0002,000f,0008,000f,0003]
 157000000 ICLCU1RSI1XR [000c,000f]
 158000000 ICLCUI2US2L12 [0006,002f,0004]
 159000000 ICLCL22L1R21X [0004,0008]
 160000000 ICLCLXI1RI1SL [000c,000f,008f]
 161000000 ICLCLICR2I1S4 [0008,000c,0006,008f,000c]
 162000000 ICLCI3RI44S1S [000f,0009,00f9]
 163000000 ICLCI2X1SUCU2 [004c,000c,000c]
 164000000 ICLCI1X21SCX1 [00cc,0008]
 165000000 ICLCISU2LC1X [0008,00f4,0002]
 166000000 ICLCIC41XS2X [0001,00cc]
 167000000 ICLCIC2ICU31R [000c,0008,000c,0001,000c,0003,0009]
 168000000 ICLCICU3S1LCS [000c,0001,008c,0006]
 169000000 ICLCII4SCU4X3 [000f,00cc,000c,0001]
 170000000 ICLI22UCI1S1 [000f,000c,002f,0004]
 171000000 ICLI2XSLC1XR [0006]
 172000000 ICLI2L22I2SSS [9ff6]
 173000000 ICLI2ICLSCR3U [0009,000c,008c,0002,000f]
 174000000 ICLI1RI2CL1UC [000c,0003,000f,0009,0003]
 175000000 ICLI1C22IXXS [000c,00f1]
 176000000 ICLI1I1SUCL1U [000c,000f,0019,0013]
 177000000 ICLISLCRXL1U1 [0003,0066]
 178000000 ICLIXXICXLSL [0036]
 179000000 ICLIC32RXR1U2 [0009,000c,0009]
 180000000 ICLIC3I31SR2S [0009,000c,03f9]
 181000000 ICLIC2U1RCX2X [000c,0006,0004]
 182000000 ICLIC12XLISU1 [000c,00f9,0003]
 183000000 ICLIC1ICU34US [000c,000c,000c,000c,0063]
 184000000 ICLICR2C3R4S2 [0006,0001,00c9,0008]
 185000000 ICLICRI3CR3R2 [000c,000c,000f,0002,000c,0008]
 186000000 ICLICL3SR2I [000c,0093,0009,000f]
 187000000 ICLICLC1U3U1X [000c,000c,0001,0006]
 188000000 ICLICI14L43L [000c,0003,0006,0009,000f]
 189000000 ICLII3R2SUX1C [000f,0008,0001]
 190000000 ICLIIXCXLCXSR [000c,000b]
 191000000 ICLIICU4L24L3 [000f,0006,000c,000c,000c]
 192000000 ICI22UX1SIC2X [000c,0003]
 193000000 ICI21S1I1LCXL [00fc,000f,0004]
 194000000 ICI21CRSC2I3L [0003,0002,000c,000f,0026]
 195000000 ICI2S1LCLI2X1 [00cf,000f,0008]
 196000000 ICI2SCLCI31X [0003,0008,0001,00cc]
 197000000 ICI2XICRS1SRX [0003]
 198000000 ICI2RS1IS1R1X [003f]
 199000000 ICI2RCRS2LSLC [000f,00c4,0001]
 200000000 ICI2U2XLISXU [000f]
 201000000 ICI2UI3SRSCXL [000f,0026]
 202000000 ICI2L1SCRC [0003,00c4,0044,0002]
 203000000 ICI2LC2XU1LI1 [0003,0008,000f,0002]
 204000000 ICI2LIS1XL1XR [00f6]
 205000000 ICI2I1SR1SUS [f6f3]
 206000000 ICI2IC2L4L4U [000c,0003,0006,0009,000f]
 207000000 ICI12RSUSUCRC [008c,0044,0222]
 208000000 ICI12I3C33XS2 [000c,000f,0003]
 209000000 ICI1SLC1RXSRC [000c,0023]
 210000000 ICI1XC2LIXUCS [000c,0003,0009]
 211000000 ICI1R12R1C32C [0009,0003,0006,000c]
 212000000 ICI1RC23RC1IX [0004,0002,000f,0001,0008]
 213000000 ICI1RI2CR3UXL [000c,000f,000c,0003]
 214000000 ICI1U1ICRC4R1 [000c,000f,000c,0004,0009,0002]
 215000000 ICI1L2XCLIS [000f,0008,00f8]
 216000000 ICI1LX1SCLC1X [00cc,0001]
 217000000 ICI1LCLXSIXXL [0006]
 218000000 ICI1I3L2LCU11 [000f,000f,0006,0008,0004]
 219000000 ICI1IXRCRXL1R [000c,0002,000f]
 220000000 ICI1ICL1U2R21 [000c,000f,0003,0009,0006]
 221000000 ICISSCI2RC1X2 [000f,0011,0033]
 222000000 ICISRIXC1R2L1 [0032,0006,0098]
 223000000 ICISUIC2C3S3X [0003,00cc,000f]
 224000000 ICISLICU3XXSR [09f3]
 225000000 ICISCSL1R1CI1 [0009,008c,000f,0013]
 226000000 ICISCL2RCXI3 [0099,0008,000f,000c]
 227000000 ICISI21SCRCRS [00f3,00cc,0044]
 228000000 ICISICL2UCRS [000c,000c,0009,06cc]
 229000000 ICIXRCXLXUISR [00f6]
 230000000 ICIXLCL21IS2C [000c,00f8,0008]
 231000000 ICIC32SSRIS1X [0f9f]
 232000000 ICIC31R2UI2RS [0003,000c,0003,00cf]
 233000000 ICIC3SICR3L4L [000f,000c,0006,0006,0009]
 234000000 ICIC3R1U3I1R4 [0009,000c,000f,0006,000c]
 235000000 ICIC3U3IC5X32 [0003,0003,0003,0003,000c]
 236000000 ICIC3L1SC2SCL [0003,0004,000c,0091]
 237000000 ICIC3I4SLXU2R [0003,0003,0009]
 238000000 ICIC3ICRSR22X [0003,000c,00c9,0003]
 239000000 ICIC22RXUI31C [0003,000c,000c,000c,0003]
 240000000 ICIC2SI1LSSSR [3f99]
 241000000 ICIC2R1RC3R2R [000c,0006,0002,0009,0008]
 242000000 ICIC2U3LI3S3S [000c,0006,00ff]
 243000000 ICIC2L2I4LX2X [0003,000c,000f]
 244000000 ICIC2LICLX13U [000c,0003,000c,0009,0003]
 245000000 ICIC2IC1LSSUX [000c,000c,0003]
 246000000 ICIC13ICR1R2S [0003,0003,000c,0006,00c9]
 247000000 ICIC1R1I3SLSX [000c,0009]
 248000000 ICIC1US1LSLCU [000c,0c88,0044]
 249000000 ICIC1LSC21SI3 [0004,0233,000f,000c]
 250000000 ICIC1I3LSC33U [000c,008c,0013,0003,0003]
 251000000 ICICX2RCXU2UI [000c,0002,000c,000f]
 252000000 ICICXRXIC2U2L [000c,0003,000c,0006]
 253000000 ICICXI32SR2SC [000f,0088,0311]
 254000000 ICICR3SCXRI32 [000c,000f,0003,0098]
 255000000 ICICR23LSCSXS [006c]
 256000000 ICICR2L2IXS2X [0006,00c9]
 257000000 ICICR1RC4S3U3 [0008,000d,000c,0006]
 258000000 ICICRSU1XSIC1 [009f,0003,000c]
 259000000 ICICRC43ISS22 [0003,0fcc,0004,0002]
 260000000 ICICRC2L4IXR [0003,0004,0002,0006,0009]
 261000000 ICICRCU1SXUIS [000c,0003,00f3]
 262000000 ICICRI31C4SXC [000c,0006,0003,000c]
 263000000 ICICRICR2X2U3 [000c,000c,0006,0003,0003]
 264000000 ICICU3ISRXX1X [000c]
 265000000 ICICU2I3XXLS [000c,009c]
 266000000 ICICUXLSCX1IR [0004,000c,000f]
 267000000 ICICUIC42SSCR [000c,000c,000c,000c,0066]
 268000000 ICICL3R2SSSC1 [0113,0c88]
 269000000 ICICL21SR1SIX [000c,00f6]
 270000000 ICICL2I3R3C1X [000c,0003,000f,0009,0001]
 271000000 ICICL1UXI2L12 [000c,0009,000f,0009]
 272000000 ICICLSC3UXIXC [0003,008c,0001]
 273000000 ICICLC4U4X3U [0008,0001,0003,0003]
 274000000 ICICLC1X32U31 [0001,000c,0003,0003]
 275000000 ICICLCL4SUI2R [0003,000c,0032,000f,0001]
 276000000 ICICLI2S1USC [000c,0003,04cc,0023]
 277000000 ICICI44LC55R3 [000f,000c,0001,000c,0006,0008]
 278000000 ICICI34RC2USC [000c,0003,000f,0008,000c,0001]
 279000000 ICICI24S1CR4C [0003,00cc,000c,0006,0003]
 280000000 ICICI2LC1U4RC [000c,0003,000f,0002,0001,0004,0002]
 281000000 ICICIS32LX22L [000c,0003,00f9]
 282000000 ICICIXXL2RSSL [00f9]
 283000000 ICICIC24SS13U [000c,0333,000c,0003]
 284000000 ICICICU5XU1SX [0003,000c,0003]
 285000000 ICII31SL1C13C [00f6,0003,000c,0003]
 286000000 ICII3U3U2CXSR [000f,0003,0099]
 287000000 ICII22CRC44UC [000c,000c,0004,0002,000f,000c]
 288000000 ICII2RCR44C3U [000f,0004,000c,000c,0003,0001]
 289000000 ICIISC32S1L1U [0003,0099,0333]
 290000000 ICIIXCRSC3LCX [0003,004c,0002,0004]
 291000000 ICIIC4LS3LC41 [000c,0063,0008,000f,0001]
 292000000 ICIIC24RC13R4 [0003,000f,0001,0008,0006,000c]
 293000000 ICIIC13XR3SC [000f,0003,00c8,0001]
 294000000 ICIICXRC2SXX1 [0003,000c]
 295000000 ICIICRXU2L1X [000c,000f,0009]
 296000000 ICIICL4R23S12 [0003,00fc,0009,0009]
 297000000 ICIICLCR2LX2C [000c,0003,0008,0002,000c,0003]
 298000000 IISCRCXL1LXR [0044]
 299000000 IISCLCU1XX [00cc]
 300000000 IISCICU2U2US2 [000c,00cf,00cc]
 301000000 IIXC1UI1RXSC [000c,0033]
 302000000 IIXCRISRSCUSU [3333]
 303000000 IIXCLICLC13S3 [000c,0001,0098,000c]
 304000000 IIXICR1RC2C1 [000f,0008,0001,0002,0004]
 305000000 IIC22RCUI42LS [000f,0008,000f,0023]
 306000000 IIC22I1R2SRC1 [0003,000f,0033,000c]
 307000000 IIC21RCL21SX1 [0004,000c]
 308000000 IIC21I1US2X1R [00cf,000f]
 309000000 IIC2SC2XRIU [000c,0066,000f]
 310000000 IIC2XL1UXRICS [0003,000f]
 311000000 IIC2C3L23I3SS [0003,000c,06f3]
 312000000 IIC2C2USXI1RX [000c,000f]
 313000000 IIC2C1LSRSUCX [000c,008c]
 314000000 IIC2CR21USRC2 [000c,0004,0032,000c]
 315000000 IIC2CRI3LSXU1 [000c,0009,000c]
 316000000 IIC2CL3I1SU3X [000c,0009,003f]
 317000000 IIC2CLCISRXXC [000c,0003,000c]
 318000000 IIC2CIX2LSRS1 [036c,000c]
 319000000 IIC2I2U3L1SRS [000f,09cf]
 320000000 IIC2ICXU2LXX [000c,000f]
 321000000 IIC12C3I12US2 [000c,000f,000f,000c]
 322000000 IIC12CIXU3SXX [000c]
 323000000 IIC1XIC2R21X1 [000f,000c,0003]
 324000000 IIC1RS1XCU1LI [004c,0004,000f]
 325000000 IIC1RCRSLC1IU [000f,0003,0001,0004,000f]
 326000000 IIC1U21L1ISCX [0003,0009,00cc]
 327000000 IIC1L22SC21XC [000c,0004,0002]
 328000000 IIC1LSRCUXIL [000f,00c4,000f]
 329000000 IIC1LCU2RI2RX [000f,0004,0006,000f]
 330000000 IIC1I3C4X32XS [000f,000f]
 331000000 IIC1ISL22SCR1 [00f6,0066,000c]
 332000000 IIC1ICU4C3R51 [000c,000c,000c,0003,0003,0009]
 333000000 IICXSCL1SLCRS [444c]
 334000000 IICXU1CRC1UXR [0003,000c,0004]
 335000000 IICXI2X1USUCC [00cc,0003]
 336000000 IICR22ICU4CU3 [000f,000c,000c,0004,0008,000c]
 337000000 IICR2C31R2IX3 [000c,0006,000c,0006]
 338000000 IICR2CL33LSXL [000c,000c]
 339000000 IICR12C1LC41R [000c,0003,0004,0006,0004]
 340000000 IICR1RCIC4SSX [000f,0008,0001]
 341000000 IICR1I2C1U1X3 [000c,000f,0001,000f]
 342000000 IICRSLCI2X12 [000f,0032,000f]
 343000000 IICRXUXCR11 [000c,0006]
 344000000 IICRC3C2RSC [000c,0004,000c,0004,0003]
 345000000 IICRC2R1IS1L1 [000f,0004,000c,00f2]
 346000000 IICRC1RIXU23C [0002,0002,000c,000c,0003]
 347000000 IICRCR2S2CUX [0004,00c4,000c]
 348000000 IICRCUXL2SSRI [00fd,000f]
 349000000 IICRCI43XX2UC [0002,000f,0003]
 350000000 IICRCICL35S1U [000c,0002,000c,00f4,0006]
 351000000 IICRI1XCRSXLC [000f,0004,0002]
 352000000 IICRIC3R2R4C [0006,0003,0009,0009,000c,0003]
 353000000 IICU22SCISSRX [000c]
 354000000 IICU2XI2US1RC [003f,0008,0001]
 355000000 IICU2CI4L3LXL [000c,0003,000f,0003]
 356000000 IICUSLCI2SS1X [4f22]
 357000000 IICUI3C3R41RS [000f,000c,0003,000f]
 358000000 IICUISC22RC2R [000f,0003,0088,0011,0009]
 359000000 IICUICL2UX1C [000f,000c,0009,000c]
 360000000 IICL2S1LCUXL1 [0002,00f9]
 361000000 IICL2C1L3RS21 [0003,0009,000f]
 362000000 IICL2I21C1R2S [000c,000f,0003,0099]
 363000000 IICL1XLI1LSU1 [009f,000f]
 364000000 IICL1L1C33XCX [0008,0001,000c]
 365000000 IICLSSLCLCUXX [0c4c]
 366000000 IICLSI1CR3C12 [000f,008c,0003,000c,0002]
 367000000 IICLC32LIX23U [000f,0004,0001,0003]
 368000000 IICLC23IC34LS [0008,000f,000c,0003,008c]
 369000000 IICLC2IX33UXL [0001,000c,000f]
 370000000 IICLCX1ISCS12 [00cf,0008,000f]
 371000000 IICLCRISSRSX [000f]
 372000000 IICLCL23C4SI [0008,000c,000c,000b,000f]
 373000000 IICLCIS31UXXS [008c]
 374000000 IICLI21SLCX2 [0009,00c4,000f]
 375000000 IICLISC1USR21 [000c,000f,6462]
 376000000 IICLICR33USXL [000f,000c,0003]
 377000000 IICI3SSLSRCC [0cc8,3331]
 378000000 IICI3CRC41US2 [000c,000f,0004,000b,000c]
 379000000 IICI2S1R2C1R2 [00cf,0003,0009,0006]
 380000000 IICI2L3SXSRCL [00c4,0091]
 381000000 IICI1SLCL3XR1 [000c,0013,008c]
 382000000 IICI1L1SCLSCX [000f,000c,88c8]
 383000000 IICISL2CL23L [000c,0009,00f9,0006]
 384000000 IICIXL22SLCXC [0009,004c]
 385000000 IICIC4CRC56L4 [000c,0003,0004,0002,0003,0006,000c]
 386000000 IICIC23XLSL11 [000f,000c,00c9]
 387000000 IICIC1R32RXS2 [0003,00c9,000f]
 388000000 IICICR31U4CS [0003,000c,000c,0009,000f]
 389000000 IICICU42LCU1S [000c,0003,000c,000f,000c]
 390000000 IICICL2LCR4R5 [000c,0009,0008,0002,0009,000f]
 391000000 IIISC1RC3XR2R [0088,0022,0066]
 392000000 IIIC33XCX2R21 [000c,0003,0009]
 393000000 IIIC3XRC31XX1 [0004,000c]
 394000000 IIIC3CLSC1SX [000f,000c,0003]
 395000000 IIIC2SCSUC1X [000f,000c,0003]
 396000000 IIIC2CL41C3X1 [000c,0003,000f,0001,0008]
 397000000 IIIC1RXU2XLXU [000f]
 398000000 IIICXXC1L2SR [0003,00fc]
 399000000 IIICR2C4C4C65 [000c,000c,0003,0004,0002,000c,0003]
 400000000 IIICRC33USR2X [000f,0002,006f]
 401000000 IIICU3CR41C1L [000c,000c,000c,000f,0002,0002]
 402000000 IIICL3CR24C22 [000c,000c,0006,0003,0009,000c]
 403000000 IIICLSC2X2XS [008d]
 404000000 IIICLCL2R22X [000f,000f,0009,0008]
Unique shapes
0001 ["ICRCO","ICLCO","ICRCUO","ICRCRO"]
0003 ["ICO","ICLO","ICUO","ICRO"]
0005 ["ICRCLSO","ICLCRSO"]
0007 ["IC1LCXSO","IC1RCXSO","ICLC2SO","ICRC2SO"]
000f ["IO"]
0011 ["ICUSLCO","ICUSRCO","ICRCRSO","ICLCLSO"]
0012 ["ICRCLSSRCO","ICRICLSSCO","ICRICLSSCLO","ICRICLSSCUO","ICRICLSSCRO","ICRSLCLSCXO","ICRCLSSRCLO","ICRCLSSRCRO"]
0013 ["IC1RSCO","IC1LSCO","ICRSCXO","IC1LSCRO","ICLSCXO","IC1RSCLO","IC1RSCRO","IC1LSCLO"]
0015 ["IC1LSCRCLSO","IC1RSCRCLSO","IC1RSCLCRSO","IC1RSCRC2SO"]
0016 ["ICRCICLSSC2SO","ICLCICRSSC2SO","ICRCICLSSC2SRO","ICRCICLSSC2SUO","ICRCISCSRCL2SO","ICRCIC3SSLCXSO","ICLCICRSSC2SRO","ICRCICLSSC2SLO"]
0017 ["ICLSCRSUO","ICLSCRSO","IC1LCRSSO","IC1RCLSSO","IC1LSCLSO","IC1RSCRSO","ICRSCLSUO","ICRSCLSO"]
001a ["ICRCISCSRC2SO","ICLCISCSLC2SO","ICRCISCSRC2SUO","ICRC1ISCSLCXSO"]
001b ["ICRSCSO","ICLSCSO","IC1LSCSO","IC1RSCSO"]
001e ["ICRICLSSC2SUO","ICRICLSSC2SLO","ICLICRSSC2SO","ICRICLSSC2SO"]
001f ["ICRCI2SO","ICRCI1SO","ICLCI1SO","ICLCI2SO"]
0031 ["ICRSRCXO","ICLSRCO","ICLSRCLO","ICR1SCXO","ICRC2LSO","ICRSLCO","ICRSLCLO","ICRSLCRO"]
0033 ["IISCO","ICUSO","ICUSLO","ICUSRO"]
0035 ["ICRSRCRSO","IC1RCR2SSO","ICR1SCLSO","ICRSRC1LSO","ICRSLCLSO","ICR1SC1RSO","ICLSRCRSO","IC1LCL2SSO"]
0036 ["IC1RSO","IC1LSO","ICRSO","ICR1SO","ICRSLO","ICRSRO","ICLSO","ICLSRO"]
0037 ["ICRCICRSSO","ICLCICUSSO","ICRCISCLSO","ICRCICUSSO","IC1RISCXLSO","ICRCISCLSRO","ICRCICRSSLO","IC1LISCXRSO"]
003d ["IC1RISCXSO","ICLCISCSO","ICRCISCSO","IC1LISCXSO","ICLCISCSRO","ICRCICLSSO","ICRCISCSRO","ICRCISCSLO"]
003f ["ICI2SO","ICI1SO","ICRI1SO","ICLI1SO"]
0051 ["ICLC2LCLSSO","ICRC2RCRSSO","ICRC2RCXSRSO","ICRC2RC3SRSO"]
0053 ["IC1RCRSSO","IC1LCLSSO","ICLCRSSRO","ICLCRSSO","ICLCRSSLO","ICRCLSSLO","ICRCLSSRO","ICRCLSSO"]
0055 ["ICUSRCRSO","ICUSLCLSO"]
0057 ["ICLI1SCRC2SO","ICRI1SCLC2SO","ICRI1SC1RCXSO","ICRI1SCLC2SUO"]
005b ["ICRCICRCLSSSO","ICLCICLCRSSSO","ICRCICRCLSSSLO","ICRCICRCLSSSUO"]
005f ["ICRCLSI1SO","ICLCRSI1SO"]
0071 ["ICLC2SLSO","ICRC2SLSLO","ICRC22LSSO","ICRC2SRSUO","ICLC2SRSO","ICRC2SRSO","ICRC2SLSO","ICRC2SLSUO"]
0072 ["ICRC2SSLO","ICRC2SSO","ICRC2SSUO","ICLC2SSO"]
0073 ["ICRCIC3SRSO","ICRCI2SCLSO","ICRI1SC2RSO","ICRI1SCL2SO","ICLI1SCR2SO","ICRI2SRC2SO","ICI2SRCL2SO","ICI2SLCR2SO"]
0075 ["ICRISCLC2SO","ICRISCLC2SUO","ICLISCRC2SO","ICRISC1RCXSO"]
0077 ["IISCRC2SO","IISCLC2SO","IISC1LCXSO","IISC1RCXSO"]
