0001 [0001]
0164 [0004,0012,0004]
0165 [0005,0012,0004]
0166 [0006,0012,0004]
0167 [0007,0012,0004]
0169 [0048,0121]
016a [000a,0012,0004]
016b [000b,0012,0004]
016c [000c,0012,0004]
016d [000d,0012,0004]
016e [000e,0012,0004]
016f [000f,0012,0004]
0171 [0001,0007,0001]
0172 [0002,0007,0001]
0173 [0003,0007,0001]
0174 [0004,0007,0001]
0175 [0005,0007,0001]
0176 [0006,0007,0001]
0177 [0007,0007,0001]
0178 [0048,0003,0001]
0179 [0009,0007,0001]
017a [000a,0007,0001]
017b [000b,0007,0001]
017c [000c,0007,0001]
017d [000d,0007,0001]
017e [000e,0007,0001]
017f [000f,0007,0001]
01a2 [0002,0012,0008]
01a3 [0003,0012,0008]
01a5 [0084,0121]
01a6 [0006,0012,0008]
01a7 [0007,0012,0008]
01aa [000a,0012,0008]
01ab [000b,0012,0008]
01ae [000e,0012,0008]
01af [000f,0012,0008]
01b1 [0001,000b,0001]
01b2 [0002,000b,0001]
01b3 [0003,000b,0001]
01b5 [0005,000b,0001]
01b6 [0006,000b,0001]
01b7 [0007,000b,0001]
01ba [000a,000b,0001]
01bb [000b,000b,0001]
01be [000e,000b,0001]
01bf [000f,000b,0001]
01e2 [0002,0012,000c]
01e3 [0003,0012,000c]
01e4 [0004,0012,000c]
01e5 [0005,0012,000c]
01e6 [0006,0012,000c]
01e7 [0007,0012,000c]
01ea [000a,0012,000c]
01eb [000b,0012,000c]
01ee [000e,0012,000c]
01ef [000f,0012,000c]
01f1 [0001,000f,0001]
01f2 [0002,000f,0001]
01f3 [0003,000f,0001]
01f4 [0004,000f,0001]
01f5 [0005,000f,0001]
01f6 [0006,000f,0001]
01f7 [0007,000f,0001]
01fa [000a,000f,0001]
01fb [000b,000f,0001]
01fe [000e,000f,0001]
01ff [000f,000f,0001]
0311 [0001,0001,0003]
0312 [0012,0003]
0313 [0003,0001,0003]
0315 [0005,0001,0003]
0316 [0012,0004,0003]
0317 [0007,0001,0003]
0318 [0018,0003]
0319 [0009,0001,0003]
031a [0012,0008,0003]
031b [000b,0001,0003]
031c [0018,0004,0003]
031d [000d,0001,0003]
031e [0012,000c,0003]
031f [000f,0001,0003]
0331 [0001,0003,0003]
0333 [0003,0003,0003]
0334 [0024,0001,0003]
0335 [0005,0003,0003]
0336 [0006,0003,0003]
0337 [0007,0003,0003]
033c [0018,0024,0003]
033d [000d,0003,0003]
033f [000f,0003,0003]
0351 [0001,0005,0003]
0353 [0003,0005,0003]
0354 [0004,0005,0003]
0355 [0005,0005,0003]
0356 [0006,0005,0003]
0357 [0007,0005,0003]
0359 [0009,0005,0003]
035a [0048,0012,0003]
035b [000b,0005,0003]
035c [000c,0005,0003]
035d [000d,0005,0003]
035e [000e,0005,0003]
035f [000f,0005,0003]
0361 [0021,0024,0001]
0362 [0002,0006,0003]
0363 [0003,0006,0003]
0364 [0004,0006,0003]
0365 [0005,0006,0003]
0366 [0006,0006,0003]
0367 [0007,0006,0003]
0369 [0048,0021,0003]
036a [000a,0006,0003]
036b [000b,0006,0003]
036c [000c,0006,0003]
036d [000d,0006,0003]
036e [000e,0006,0003]
036f [000f,0006,0003]
0371 [0001,0007,0003]
0372 [0002,0007,0003]
0373 [0003,0007,0003]
0374 [0004,0007,0003]
0375 [0005,0007,0003]
0376 [0006,0007,0003]
0377 [0007,0007,0003]
0378 [0048,0003,0003]
0379 [0009,0007,0003]
037a [000a,0007,0003]
037b [000b,0007,0003]
037c [000c,0007,0003]
037d [000d,0007,0003]
037e [000e,0007,0003]
037f [000f,0007,0003]
03c3 [0181,0242]
03c4 [0004,0018,0024]
03c5 [0005,0018,0024]
03c6 [0006,0018,0024]
03c7 [0007,0018,0024]
03cc [000c,0018,0024]
03cd [000d,0018,0024]
03cf [000f,0018,0024]
03d1 [0001,000d,0003]
03d2 [0012,0018,0024]
03d3 [0003,000d,0003]
03d4 [0004,000d,0003]
03d5 [0005,000d,0003]
03d6 [0006,000d,0003]
03d7 [0007,000d,0003]
03d8 [0008,000d,0003]
03d9 [0009,000d,0003]
03da [000a,000d,0003]
03db [000b,000d,0003]
03dc [000c,000d,0003]
03dd [000d,000d,0003]
03de [000e,000d,0003]
03df [000f,000d,0003]
03f1 [0001,000f,0003]
03f3 [0003,000f,0003]
03f4 [0004,000f,0003]
03f5 [0005,000f,0003]
03f6 [0006,000f,0003]
03f7 [0007,000f,0003]
03fc [000c,000f,0003]
03fd [000d,000f,0003]
03ff [000f,000f,0003]
0511 [0001,0001,0005]
0512 [0012,0005]
0513 [0003,0001,0005]
0515 [0005,0001,0005]
0516 [0012,0004,0005]
0517 [0007,0001,0005]
051a [0012,0008,0005]
051b [000b,0001,0005]
051e [0012,000c,0005]
051f [000f,0001,0005]
0531 [0001,0003,0005]
0532 [0002,0003,0005]
0533 [0003,0003,0005]
0535 [0005,0003,0005]
0536 [0006,0003,0005]
0537 [0007,0003,0005]
0539 [0009,0003,0005]
053a [000a,0003,0005]
053b [000b,0003,0005]
053c [0018,0424,0001]
053d [000d,0003,0005]
053e [000e,0003,0005]
053f [000f,0003,0005]
0551 [0001,0005,0005]
0552 [0012,0004,0005]
0553 [0003,0005,0005]
0555 [0005,0005,0005]
0557 [0007,0005,0005]
055a [0048,0012,0005]
055b [000b,0005,0005]
055f [000f,0005,0005]
0571 [0001,0007,0005]
0572 [0002,0007,0005]
0573 [0003,0007,0005]
0575 [0005,0007,0005]
0577 [0007,0007,0005]
0578 [0048,0003,0005]
0579 [0009,0007,0005]
057a [000a,0007,0005]
057b [000b,0007,0005]
057d [000d,0007,0005]
057f [000f,0007,0005]
05a2 [0002,0048,0012]
05a3 [0003,0048,0012]
05a5 [0484,0121]
05a7 [0007,0048,0012]
05aa [000a,0048,0012]
05ab [000b,0048,0012]
05af [000f,0048,0012]
05b1 [0001,000b,0005]
05b2 [0002,000b,0005]
05b3 [0003,000b,0005]
05b5 [0005,000b,0005]
05b6 [0006,000b,0005]
05b7 [0007,000b,0005]
05ba [000a,000b,0005]
05bb [000b,000b,0005]
05be [000e,000b,0005]
05bf [000f,000b,0005]
05f1 [0001,000f,0005]
05f2 [0002,000f,0005]
05f3 [0003,000f,0005]
05f5 [0005,000f,0005]
05f7 [0007,000f,0005]
05fa [000a,000f,0005]
05fb [000b,000f,0005]
05ff [000f,000f,0005]
0711 [0001,0001,0007]
0712 [0012,0007]
0713 [0003,0001,0007]
0715 [0005,0001,0007]
0716 [0012,0004,0007]
0717 [0007,0001,0007]
0718 [0018,0007]
0719 [0009,0001,0007]
071a [0012,0008,0007]
071b [000b,0001,0007]
071c [0018,0004,0007]
071d [000d,0001,0007]
071e [0012,000c,0007]
071f [000f,0001,0007]
0721 [0021,0007]
0722 [0002,0002,0007]
0723 [0003,0002,0007]
0725 [0021,0004,0007]
0727 [0007,0002,0007]
0729 [0021,0008,0007]
072a [000a,0002,0007]
072b [000b,0002,0007]
072d [0021,000c,0007]
072f [000f,0002,0007]
0731 [0001,0003,0007]
0732 [0002,0003,0007]
0733 [0003,0003,0007]
0734 [0024,0001,0007]
0735 [0005,0003,0007]
0736 [0006,0003,0007]
0737 [0007,0003,0007]
0738 [0018,0002,0007]
0739 [0009,0003,0007]
073a [000a,0003,0007]
073b [000b,0003,0007]
073c [0018,0024,0007]
073d [000d,0003,0007]
073e [000e,0003,0007]
073f [000f,0003,0007]
0751 [0001,0005,0007]
0752 [0012,0004,0007]
0753 [0003,0005,0007]
0755 [0005,0005,0007]
0757 [0007,0005,0007]
0758 [0048,0001,0007]
0759 [0009,0005,0007]
075a [0048,0012,0007]
075b [000b,0005,0007]
075d [000d,0005,0007]
075f [000f,0005,0007]
0771 [0001,0007,0007]
0772 [0002,0007,0007]
0773 [0003,0007,0007]
0775 [0005,0007,0007]
0777 [0007,0007,0007]
0778 [0048,0003,0007]
0779 [0009,0007,0007]
077a [000a,0007,0007]
077b [000b,0007,0007]
077d [000d,0007,0007]
077f [000f,0007,0007]
0791 [0001,0009,0007]
0793 [0003,0009,0007]
0795 [0005,0009,0007]
0796 [0484,0012,0003]
0797 [0007,0009,0007]
0798 [0008,0009,0007]
0799 [0009,0009,0007]
079a [000a,0009,0007]
079b [000b,0009,0007]
079c [000c,0009,0007]
079d [000d,0009,0007]
079e [000e,0009,0007]
079f [000f,0009,0007]
07a2 [0002,000a,0007]
07a3 [0003,000a,0007]
07a5 [0484,0021,0003]
07a7 [0007,000a,0007]
07a8 [0008,000a,0007]
07a9 [0009,000a,0007]
07aa [000a,000a,0007]
07ab [000b,000a,0007]
07ad [000d,000a,0007]
07af [000f,000a,0007]
07b1 [0001,000b,0007]
07b2 [0002,000b,0007]
07b3 [0003,000b,0007]
07b4 [0484,0003,0003]
07b5 [0005,000b,0007]
07b6 [0006,000b,0007]
07b7 [0007,000b,0007]
07b8 [0008,000b,0007]
07b9 [0009,000b,0007]
07ba [000a,000b,0007]
07bb [000b,000b,0007]
07bc [000c,000b,0007]
07bd [000d,000b,0007]
07be [000e,000b,0007]
07bf [000f,000b,0007]
07d1 [0001,000d,0007]
07d2 [0012,000c,0007]
07d3 [0003,000d,0007]
07d5 [0005,000d,0007]
07d7 [0007,000d,0007]
07d8 [0008,000d,0007]
07d9 [0009,000d,0007]
07da [000a,000d,0007]
07db [000b,000d,0007]
07dd [000d,000d,0007]
07df [000f,000d,0007]
07f1 [0001,000f,0007]
07f2 [0002,000f,0007]
07f3 [0003,000f,0007]
07f5 [0005,000f,0007]
07f7 [0007,000f,0007]
07f8 [0008,000f,0007]
07f9 [0009,000f,0007]
07fa [000a,000f,0007]
07fb [000b,000f,0007]
07fd [000d,000f,0007]
07ff [000f,000f,0007]
0f11 [0001,0001,000f]
0f12 [0012,000f]
0f13 [0003,0001,000f]
0f15 [0005,0001,000f]
0f16 [0012,0004,000f]
0f17 [0007,0001,000f]
0f1a [0012,0008,000f]
0f1b [000b,0001,000f]
0f1e [0012,000c,000f]
0f1f [000f,0001,000f]
0f31 [0001,0003,000f]
0f33 [0003,0003,000f]
0f34 [0024,0001,000f]
0f35 [0005,0003,000f]
0f36 [0006,0003,000f]
0f37 [0007,0003,000f]
0f3c [0018,0024,000f]
0f3d [000d,0003,000f]
0f3f [000f,0003,000f]
0f51 [0001,0005,000f]
0f52 [0012,0004,000f]
0f53 [0003,0005,000f]
0f55 [0005,0005,000f]
0f57 [0007,0005,000f]
0f5a [0048,0012,000f]
0f5b [000b,0005,000f]
0f5f [000f,0005,000f]
0f71 [0001,0007,000f]
0f72 [0002,0007,000f]
0f73 [0003,0007,000f]
0f75 [0005,0007,000f]
0f77 [0007,0007,000f]
0f78 [0048,0003,000f]
0f79 [0009,0007,000f]
0f7a [000a,0007,000f]
0f7b [000b,0007,000f]
0f7d [000d,0007,000f]
0f7f [000f,0007,000f]
0ff1 [0001,000f,000f]
0ff3 [0003,000f,000f]
0ff5 [0005,000f,000f]
0ff7 [0007,000f,000f]
0fff [000f,000f,000f]
1111 [0001,0001,0001,0001,000f]
1112 [0012,0001,0001,000f]
1113 [0003,0001,0001,0001,000f]
1115 [0005,0001,0001,0001,000f]
1116 [0012,0004,0001,0001,000f]
1117 [0007,0001,0001,0001,000f]
111a [0012,0008,0001,0001,000f]
111b [000b,0001,0001,0001,000f]
111e [0012,000c,0001,0001,000f]
111f [000f,0001,0001,0001,000f]
1121 [0121,0001,000f]
1122 [0002,0012,0001,000f]
1123 [0003,0012,0001,000f]
1125 [0121,0004,0001,000f]
1126 [0006,0012,0001,000f]
1127 [0007,0012,0001,000f]
1129 [0121,0008,0001,000f]
112a [000a,0012,0001,000f]
112b [000b,0012,0001,000f]
112d [0121,000c,0001,000f]
112e [000e,0012,0001,000f]
112f [000f,0012,0001,000f]
1131 [0001,0003,0001,0001,000f]
1132 [0002,0003,0001,0001,000f]
1133 [0003,0003,0001,0001,000f]
1135 [0005,0003,0001,0001,000f]
1136 [0006,0003,0001,0001,000f]
1137 [0007,0003,0001,0001,000f]
1138 [0018,0012,0001,000f]
1139 [0009,0003,0001,0001,000f]
113a [000a,0003,0001,0001,000f]
113b [000b,0003,0001,0001,000f]
113c [0018,0024,0001,0001,000f]
113d [000d,0003,0001,0001,000f]
113e [000e,0003,0001,0001,000f]
113f [000f,0003,0001,0001,000f]
1151 [0001,0005,0001,0001,000f]
1153 [0003,0005,0001,0001,000f]
1154 [0004,0005,0001,0001,000f]
1155 [0005,0005,0001,0001,000f]
1156 [0006,0005,0001,0001,000f]
1157 [0007,0005,0001,0001,000f]
115a [0048,0012,0001,0001,000f]
115b [000b,0005,0001,0001,000f]
115e [000e,0005,0001,0001,000f]
115f [000f,0005,0001,0001,000f]
1162 [0002,0012,0004,0001,000f]
1163 [0003,0012,0004,0001,000f]
1164 [0004,0012,0004,0001,000f]
1165 [0005,0012,0004,0001,000f]
1166 [0006,0012,0004,0001,000f]
1167 [0007,0012,0004,0001,000f]
1169 [0048,0121,0001,000f]
116a [000a,0012,0004,0001,000f]
116b [000b,0012,0004,0001,000f]
116c [000c,0012,0004,0001,000f]
116d [000d,0012,0004,0001,000f]
116e [000e,0012,0004,0001,000f]
116f [000f,0012,0004,0001,000f]
1171 [0001,0007,0001,0001,000f]
1172 [0002,0007,0001,0001,000f]
1173 [0003,0007,0001,0001,000f]
1174 [0004,0007,0001,0001,000f]
1175 [0005,0007,0001,0001,000f]
1176 [0006,0007,0001,0001,000f]
1177 [0007,0007,0001,0001,000f]
1178 [0048,0003,0001,0001,000f]
1179 [0009,0007,0001,0001,000f]
117a [000a,0007,0001,0001,000f]
117b [000b,0007,0001,0001,000f]
117c [000c,0007,0001,0001,000f]
117d [000d,0007,0001,0001,000f]
117e [000e,0007,0001,0001,000f]
117f [000f,0007,0001,0001,000f]
11a2 [0002,0012,0008,0001,000f]
11a3 [0003,0012,0008,0001,000f]
11a5 [0084,0121,0001,000f]
11a6 [0006,0012,0008,0001,000f]
11a7 [0007,0012,0008,0001,000f]
11aa [000a,0012,0008,0001,000f]
11ab [000b,0012,0008,0001,000f]
11ae [000e,0012,0008,0001,000f]
11af [000f,0012,0008,0001,000f]
11b1 [0001,000b,0001,0001,000f]
11b2 [0002,000b,0001,0001,000f]
11b3 [0003,000b,0001,0001,000f]
11b5 [0005,000b,0001,0001,000f]
11b6 [0006,000b,0001,0001,000f]
11b7 [0007,000b,0001,0001,000f]
11ba [000a,000b,0001,0001,000f]
11bb [000b,000b,0001,0001,000f]
11be [000e,000b,0001,0001,000f]
11bf [000f,000b,0001,0001,000f]
11e2 [0002,0012,000c,0001,000f]
11e3 [0003,0012,000c,0001,000f]
11e4 [0004,0012,000c,0001,000f]
11e5 [0005,0012,000c,0001,000f]
11e6 [0006,0012,000c,0001,000f]
11e7 [0007,0012,000c,0001,000f]
11ea [000a,0012,000c,0001,000f]
11eb [000b,0012,000c,0001,000f]
11ee [000e,0012,000c,0001,000f]
11ef [000f,0012,000c,0001,000f]
11f1 [0001,000f,0001,0001,000f]
11f2 [0002,000f,0001,0001,000f]
11f3 [0003,000f,0001,0001,000f]
11f4 [0004,000f,0001,0001,000f]
11f5 [0005,000f,0001,0001,000f]
11f6 [0006,000f,0001,0001,000f]
11f7 [0007,000f,0001,0001,000f]
11fa [000a,000f,0001,0001,000f]
11fb [000b,000f,0001,0001,000f]
11fe [000e,000f,0001,0001,000f]
11ff [000f,000f,0001,0001,000f]
1211 [0001,0121,000f]
1212 [1212,000f]
1213 [0003,0121,000f]
1215 [0005,0121,000f]
1216 [1212,0004,000f]
1217 [0007,0121,000f]
1219 [0009,0121,000f]
121a [1212,0008,000f]
121b [000b,0121,000f]
121d [000d,0121,000f]
121e [1212,000c,000f]
121f [000f,0121,000f]
1221 [0021,0012,000f]
1222 [0002,0002,0012,000f]
1223 [0003,0002,0012,000f]
1224 [0024,0012,000f]
1225 [0021,0004,0012,000f]
1226 [0006,0002,0012,000f]
1227 [0007,0002,0012,000f]
1229 [0021,0008,0012,000f]
122a [000a,0002,0012,000f]
122b [000b,0002,0012,000f]
122c [0024,0008,0012,000f]
122d [0021,000c,0012,000f]
122e [000e,0002,0012,000f]
122f [000f,0002,0012,000f]
1231 [0001,0003,0012,000f]
1232 [0002,0003,0012,000f]
1233 [0003,0003,0012,000f]
1234 [0024,0121,000f]
1235 [0005,0003,0012,000f]
1236 [0006,0003,0012,000f]
1237 [0007,0003,0012,000f]
1239 [0009,0003,0012,000f]
123a [000a,0003,0012,000f]
123b [000b,0003,0012,000f]
123c [0018,0024,0012,000f]
123d [000d,0003,0012,000f]
123e [000e,0003,0012,000f]
123f [000f,0003,0012,000f]
1251 [0001,0121,0004,000f]
1253 [0003,0121,0004,000f]
1254 [0004,0121,0004,000f]
1255 [0005,0121,0004,000f]
1256 [0006,0121,0004,000f]
1257 [0007,0121,0004,000f]
1259 [0009,0121,0004,000f]
125a [0048,1212,000f]
125b [000b,0121,0004,000f]
125c [000c,0121,0004,000f]
125d [000d,0121,0004,000f]
125e [000e,0121,0004,000f]
125f [000f,0121,0004,000f]
1262 [0002,0006,0012,000f]
1263 [0003,0006,0012,000f]
1264 [0004,0006,0012,000f]
1265 [0005,0006,0012,000f]
1266 [0006,0006,0012,000f]
1267 [0007,0006,0012,000f]
1269 [0048,0021,0012,000f]
126a [000a,0006,0012,000f]
126b [000b,0006,0012,000f]
126c [000c,0006,0012,000f]
126d [000d,0006,0012,000f]
126e [000e,0006,0012,000f]
126f [000f,0006,0012,000f]
1271 [0001,0007,0012,000f]
1272 [0002,0007,0012,000f]
1273 [0003,0007,0012,000f]
1274 [0004,0007,0012,000f]
1275 [0005,0007,0012,000f]
1276 [0006,0007,0012,000f]
1277 [0007,0007,0012,000f]
1279 [0009,0007,0012,000f]
127a [000a,0007,0012,000f]
127b [000b,0007,0012,000f]
127c [000c,0007,0012,000f]
127d [000d,0007,0012,000f]
127e [000e,0007,0012,000f]
127f [000f,0007,0012,000f]
1291 [0001,0121,0008,000f]
1293 [0003,0121,0008,000f]
1295 [0005,0121,0008,000f]
1296 [0084,1212,000f]
1297 [0007,0121,0008,000f]
1298 [0008,0121,0008,000f]
1299 [0009,0121,0008,000f]
129a [000a,0121,0008,000f]
129b [000b,0121,0008,000f]
129c [000c,0121,0008,000f]
129d [000d,0121,0008,000f]
129e [000e,0121,0008,000f]
129f [000f,0121,0008,000f]
12a2 [0002,000a,0012,000f]
12a3 [0003,000a,0012,000f]
12a5 [0084,0021,0012,000f]
12a6 [0006,000a,0012,000f]
12a7 [0007,000a,0012,000f]
12a8 [0008,000a,0012,000f]
12a9 [0009,000a,0012,000f]
12aa [000a,000a,0012,000f]
12ab [000b,000a,0012,000f]
12ac [000c,000a,0012,000f]
12ad [000d,000a,0012,000f]
12ae [000e,000a,0012,000f]
12af [000f,000a,0012,000f]
12b1 [0001,000b,0012,000f]
12b2 [0002,000b,0012,000f]
12b3 [0003,000b,0012,000f]
12b4 [0084,0003,0012,000f]
12b5 [0005,000b,0012,000f]
12b6 [0006,000b,0012,000f]
12b7 [0007,000b,0012,000f]
12b8 [0008,000b,0012,000f]
12b9 [0009,000b,0012,000f]
12ba [000a,000b,0012,000f]
12bb [000b,000b,0012,000f]
12bc [000c,000b,0012,000f]
12bd [000d,000b,0012,000f]
12be [000e,000b,0012,000f]
12bf [000f,000b,0012,000f]
12d1 [0001,0121,000c,000f]
12d3 [0003,0121,000c,000f]
12d4 [0004,0121,000c,000f]
12d5 [0005,0121,000c,000f]
12d6 [0006,0121,000c,000f]
12d7 [0007,0121,000c,000f]
12d8 [0008,0121,000c,000f]
12d9 [0009,0121,000c,000f]
12da [000a,0121,000c,000f]
12db [000b,0121,000c,000f]
12dc [000c,0121,000c,000f]
12dd [000d,0121,000c,000f]
12de [000e,0121,000c,000f]
12df [000f,0121,000c,000f]
12e2 [0002,000e,0012,000f]
12e3 [0003,000e,0012,000f]
12e4 [0004,000e,0012,000f]
12e5 [0005,000e,0012,000f]
12e6 [0006,000e,0012,000f]
12e7 [0007,000e,0012,000f]
12e8 [0008,000e,0012,000f]
12e9 [0009,000e,0012,000f]
12ea [000a,000e,0012,000f]
12eb [000b,000e,0012,000f]
12ec [000c,000e,0012,000f]
12ed [000d,000e,0012,000f]
12ee [000e,000e,0012,000f]
12ef [000f,000e,0012,000f]
12f1 [0001,000f,0012,000f]
12f2 [0002,000f,0012,000f]
12f3 [0003,000f,0012,000f]
12f4 [0004,000f,0012,000f]
12f5 [0005,000f,0012,000f]
12f6 [0006,000f,0012,000f]
12f7 [0007,000f,0012,000f]
12f8 [0008,000f,0012,000f]
12f9 [0009,000f,0012,000f]
12fa [000a,000f,0012,000f]
12fb [000b,000f,0012,000f]
12fc [000c,000f,0012,000f]
12fd [000d,000f,0012,000f]
12fe [000e,000f,0012,000f]
12ff [000f,000f,0012,000f]
1311 [0001,0001,0003,0001,000f]
1312 [0012,0003,0001,000f]
1313 [0003,0001,0003,0001,000f]
1315 [0005,0001,0003,0001,000f]
1316 [0012,0004,0003,0001,000f]
1317 [0007,0001,0003,0001,000f]
1318 [0018,0003,0001,000f]
1319 [0009,0001,0003,0001,000f]
131a [0012,0008,0003,0001,000f]
131b [000b,0001,0003,0001,000f]
131c [0018,0004,0003,0001,000f]
131d [000d,0001,0003,0001,000f]
131e [0012,000c,0003,0001,000f]
131f [000f,0001,0003,0001,000f]
1321 [0021,0003,0001,000f]
1322 [0002,0002,0003,0001,000f]
1323 [0003,0002,0003,0001,000f]
1324 [0024,0003,0001,000f]
1325 [0021,0004,0003,0001,000f]
1326 [0006,0002,0003,0001,000f]
1327 [0007,0002,0003,0001,000f]
1329 [0021,0008,0003,0001,000f]
132a [000a,0002,0003,0001,000f]
132b [000b,0002,0003,0001,000f]
132c [0024,0008,0003,0001,000f]
132d [0021,000c,0003,0001,000f]
132e [000e,0002,0003,0001,000f]
132f [000f,0002,0003,0001,000f]
1331 [0001,0003,0003,0001,000f]
1332 [0002,0003,0003,0001,000f]
1333 [0003,0003,0003,0001,000f]
1334 [0024,0001,0003,0001,000f]
1335 [0005,0003,0003,0001,000f]
1336 [0006,0003,0003,0001,000f]
1337 [0007,0003,0003,0001,000f]
1338 [0018,0002,0003,0001,000f]
1339 [0009,0003,0003,0001,000f]
133a [000a,0003,0003,0001,000f]
133b [000b,0003,0003,0001,000f]
133c [0018,0024,0003,0001,000f]
133d [000d,0003,0003,0001,000f]
133e [000e,0003,0003,0001,000f]
133f [000f,0003,0003,0001,000f]
1351 [0001,0005,0003,0001,000f]
1353 [0003,0005,0003,0001,000f]
1354 [0004,0005,0003,0001,000f]
1355 [0005,0005,0003,0001,000f]
1356 [0006,0005,0003,0001,000f]
1357 [0007,0005,0003,0001,000f]
1359 [0009,0005,0003,0001,000f]
135a [0048,0012,0003,0001,000f]
135b [000b,0005,0003,0001,000f]
135c [000c,0005,0003,0001,000f]
135d [000d,0005,0003,0001,000f]
135e [000e,0005,0003,0001,000f]
135f [000f,0005,0003,0001,000f]
1361 [0021,0024,0001,0001,000f]
1362 [0002,0006,0003,0001,000f]
1363 [0003,0006,0003,0001,000f]
1364 [0004,0006,0003,0001,000f]
1365 [0005,0006,0003,0001,000f]
1366 [0006,0006,0003,0001,000f]
1367 [0007,0006,0003,0001,000f]
1369 [0048,0021,0003,0001,000f]
136a [000a,0006,0003,0001,000f]
136b [000b,0006,0003,0001,000f]
136c [000c,0006,0003,0001,000f]
136d [000d,0006,0003,0001,000f]
136e [000e,0006,0003,0001,000f]
136f [000f,0006,0003,0001,000f]
1371 [0001,0007,0003,0001,000f]
1372 [0002,0007,0003,0001,000f]
1373 [0003,0007,0003,0001,000f]
1374 [0004,0007,0003,0001,000f]
1375 [0005,0007,0003,0001,000f]
1376 [0006,0007,0003,0001,000f]
1377 [0007,0007,0003,0001,000f]
1378 [0048,0003,0003,0001,000f]
1379 [0009,0007,0003,0001,000f]
137a [000a,0007,0003,0001,000f]
137b [000b,0007,0003,0001,000f]
137c [000c,0007,0003,0001,000f]
137d [000d,0007,0003,0001,000f]
137e [000e,0007,0003,0001,000f]
137f [000f,0007,0003,0001,000f]
1381 [0181,0012,000f]
1383 [0181,0002,0012,000f]
1385 [0084,0001,0003,0001,000f]
1387 [0084,0003,0003,0001,000f]
1388 [0008,0018,0012,000f]
1389 [0009,0018,0012,000f]
138a [000a,0018,0012,000f]
138b [000b,0018,0012,000f]
138c [000c,0018,0012,000f]
138d [000d,0018,0012,000f]
138e [000e,0018,0012,000f]
138f [000f,0018,0012,000f]
1391 [0001,0009,0003,0001,000f]
1392 [0012,0018,0012,000f]
1393 [0003,0009,0003,0001,000f]
1395 [0005,0009,0003,0001,000f]
1396 [0084,0012,0003,0001,000f]
1397 [0007,0009,0003,0001,000f]
1398 [0008,0009,0003,0001,000f]
1399 [0009,0009,0003,0001,000f]
139a [000a,0009,0003,0001,000f]
139b [000b,0009,0003,0001,000f]
139c [000c,0009,0003,0001,000f]
139d [000d,0009,0003,0001,000f]
139e [000e,0009,0003,0001,000f]
139f [000f,0009,0003,0001,000f]
13a1 [0021,0018,0012,000f]
13a2 [0002,000a,0003,0001,000f]
13a3 [0003,000a,0003,0001,000f]
13a4 [0084,0002,0003,0001,000f]
13a5 [0084,0021,0003,0001,000f]
13a6 [0006,000a,0003,0001,000f]
13a7 [0007,000a,0003,0001,000f]
13a8 [0008,000a,0003,0001,000f]
13a9 [0009,000a,0003,0001,000f]
13aa [000a,000a,0003,0001,000f]
13ab [000b,000a,0003,0001,000f]
13ac [000c,000a,0003,0001,000f]
13ad [000d,000a,0003,0001,000f]
13ae [000e,000a,0003,0001,000f]
13af [000f,000a,0003,0001,000f]
13b1 [0001,000b,0003,0001,000f]
